,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,33,1,1,1,1,882,1,1,1,21,1,39,1.0,151.0,3.0,1,1
1,42,1,2,2,1,-247,2,2,1,21,1,519,1.0,166.0,1.0,2,2
2,33,2,1,2,1,3444,2,1,1,21,1,144,1.0,91.0,4.0,1,2
3,36,3,1,1,1,2415,2,1,1,22,1,73,1.0,86.0,4.0,2,1
4,36,3,1,1,1,0,2,1,1,23,1,140,1.0,143.0,3.0,1,2
5,44,4,1,2,1,1324,2,1,1,25,1,119,1.0,89.0,2.0,2,1
6,26,5,2,1,1,172,1,2,1,4,2,21,1.0,140.0,4.0,2,1
7,51,1,2,2,1,3132,1,1,1,5,2,449,1.0,176.0,1.0,1,1
8,33,6,3,2,1,1005,2,1,1,10,2,175,1.0,174.0,2.0,1,1
9,30,1,1,2,1,873,2,1,1,12,2,119,1.0,167.0,3.0,3,1
10,30,3,2,1,1,1243,2,1,1,13,2,86,1.0,174.0,1.0,1,1
11,44,7,1,1,1,1631,2,1,2,17,2,81,1.0,195.0,2.0,1,1
12,51,3,3,1,1,119,1,1,2,17,2,200,1.0,165.0,2.0,1,1
13,51,5,1,2,1,58,2,1,2,17,2,79,1.0,129.0,2.0,1,1
14,44,3,1,1,1,6203,2,2,2,17,2,58,1.0,188.0,1.0,1,1
15,34,5,2,2,1,105,2,1,2,17,2,303,1.0,196.0,2.0,1,1
16,49,3,1,1,1,1533,1,1,2,17,2,324,1.0,172.0,1.0,1,1
17,47,8,1,1,1,228,2,1,2,17,2,80,1.0,118.0,1.0,1,1
18,40,3,2,2,1,1623,2,1,2,17,2,161,1.0,167.0,2.0,1,1
19,47,4,1,2,1,1484,1,1,2,17,2,297,1.0,119.0,3.0,1,1
20,38,3,1,1,1,494,1,1,2,17,2,146,1.0,104.0,2.0,2,1
21,54,5,2,2,1,198,2,2,2,17,2,120,1.0,171.0,2.0,1,1
22,52,3,1,1,1,1701,2,2,2,17,2,381,1.0,117.0,2.0,2,1
23,48,1,3,2,1,295,2,1,2,17,2,123,1.0,164.0,2.0,3,1
24,45,5,1,2,1,1477,2,1,2,17,2,75,1.0,132.0,1.0,1,1
25,39,1,1,2,1,401,2,1,2,17,2,396,1.0,129.0,2.0,1,1
26,39,4,1,3,1,3324,1,1,2,17,2,96,1.0,131.0,1.0,1,1
27,37,3,1,1,2,0,1,1,2,17,2,44,1.0,123.0,2.0,1,1
28,49,3,1,1,1,64,1,1,2,17,2,208,1.0,159.0,1.0,3,1
29,43,5,1,2,1,1865,2,1,2,17,2,155,1.0,186.0,1.0,1,1
30,35,5,3,1,1,1718,2,2,2,17,2,74,1.0,167.0,16.0,2,1
31,50,3,1,2,1,633,1,2,1,17,2,302,1.0,111.0,6.0,1,1
32,42,5,2,1,1,35,2,2,2,17,2,38,1.0,115.0,5.0,2,1
33,56,9,1,2,1,2749,2,2,2,17,2,38,1.0,172.0,2.0,1,1
34,51,7,1,1,1,209,1,1,2,17,2,130,1.0,111.0,2.0,1,1
35,50,5,2,2,1,246,2,1,2,17,2,270,1.0,123.0,2.0,1,1
36,45,5,1,2,1,1415,2,1,2,17,2,483,1.0,116.0,1.0,1,1
37,40,2,3,2,1,5766,2,2,2,17,2,68,2.0,173.0,1.0,1,1
38,30,3,1,1,1,101,2,1,2,17,2,348,1.0,123.0,1.0,1,1
39,39,3,1,1,1,500,2,1,2,17,2,257,1.0,178.0,2.0,2,1
40,36,3,1,1,1,5057,2,1,2,17,2,70,1.0,166.0,10.0,1,1
41,34,8,1,1,1,1265,2,1,2,17,2,118,1.0,164.0,3.0,1,1
42,59,3,1,1,1,0,1,1,2,17,2,90,2.0,110.0,2.0,1,1
43,53,2,1,2,1,1364,1,1,2,17,2,508,1.0,115.0,1.0,1,1
44,46,3,2,1,1,46,1,2,2,17,2,80,1.0,152.0,1.0,1,1
45,52,9,1,2,1,5423,1,2,2,17,2,93,1.0,115.0,1.0,1,1
46,56,5,3,2,1,689,2,1,2,17,2,110,1.0,103.0,4.0,1,1
47,34,1,2,2,1,0,2,1,2,17,2,214,1.0,174.0,2.0,1,1
48,32,1,2,2,1,4344,2,1,2,17,2,79,2.0,118.0,3.0,1,1
49,59,9,3,2,1,514,2,1,2,17,2,573,1.0,188.0,1.0,2,1
50,59,3,1,3,1,252,2,2,2,17,2,138,1.0,175.0,2.0,1,1
51,40,5,1,2,1,0,2,1,2,17,2,74,2.0,196.0,1.0,1,1
52,43,5,3,2,1,-36,2,1,2,17,2,190,1.0,104.0,1.0,1,1
53,43,5,1,2,1,0,1,2,2,17,2,103,2.0,193.0,3.0,1,1
54,55,7,3,1,1,1730,1,1,2,17,2,89,2.0,118.0,3.0,1,1
55,49,2,1,2,1,202,2,1,2,17,2,651,2.0,104.0,1.0,1,2
56,49,7,1,1,1,313,2,1,2,17,2,42,2.0,188.0,2.0,1,1
57,39,4,2,3,1,419,2,1,2,17,2,186,1.0,181.0,1.0,1,1
58,42,5,1,1,1,14282,2,1,2,17,2,77,1.0,103.0,4.0,3,1
59,56,1,1,2,1,1270,2,1,2,17,2,80,2.0,165.0,2.0,2,1
60,44,1,1,2,1,4826,2,1,2,17,2,102,1.0,185.0,4.0,2,1
61,42,2,1,2,1,1048,2,1,2,17,2,71,1.0,186.0,1.0,1,1
62,41,5,1,2,1,112,2,1,2,17,2,1081,1.0,131.0,1.0,1,1
63,51,5,1,2,1,563,2,1,2,17,2,504,1.0,123.0,3.0,1,1
64,36,4,1,2,1,1797,2,2,2,17,2,166,1.0,181.0,2.0,1,1
65,52,5,1,1,1,3440,2,1,2,17,2,124,1.0,131.0,1.0,1,1
66,42,7,1,1,1,373,1,1,2,17,2,174,1.0,154.0,3.0,1,1
67,45,5,1,2,1,2020,2,1,2,17,2,62,1.0,131.0,1.0,1,1
68,35,7,1,2,1,24,2,1,2,17,2,128,1.0,181.0,1.0,1,1
69,38,3,1,1,1,425,2,1,2,17,2,240,1.0,181.0,1.0,1,1
70,47,5,1,2,1,80,1,2,2,17,2,74,1.0,145.0,1.0,1,1
71,43,10,1,2,1,634,2,1,2,17,2,65,1.0,131.0,1.0,1,1
72,33,4,1,2,1,0,2,1,2,17,2,809,3.0,181.0,1.0,2,1
73,40,4,2,2,1,677,2,1,2,17,2,619,1.0,171.0,5.0,2,1
74,54,5,1,2,1,899,1,2,2,17,2,61,1.0,145.0,1.0,2,1
75,50,3,1,1,1,830,1,1,2,17,2,71,1.0,138.0,2.0,1,1
76,54,2,1,2,1,2719,2,1,2,17,2,166,2.0,171.0,2.0,1,1
77,44,6,1,2,1,0,2,1,2,17,2,58,1.0,195.0,2.0,1,1
78,43,4,3,2,1,-259,1,1,2,17,2,732,1.0,171.0,2.0,2,1
79,51,3,1,1,1,248,2,2,2,17,2,139,2.0,126.0,3.0,1,1
80,51,5,1,2,1,12061,2,1,2,17,2,150,1.0,188.0,1.0,1,1
81,42,5,2,2,1,-15,1,1,2,17,2,89,1.0,145.0,1.0,1,1
82,46,2,3,2,1,0,1,1,2,17,2,407,1.0,150.0,3.0,3,1
83,50,3,1,1,1,4,1,1,2,17,2,223,1.0,96.0,2.0,1,1
84,44,3,1,1,1,1451,2,1,2,17,2,157,3.0,150.0,12.0,1,1
85,41,6,1,3,1,557,2,1,2,17,2,158,1.0,173.0,1.0,1,1
86,37,3,2,1,1,600,2,1,2,17,2,116,2.0,196.0,1.0,1,1
87,53,1,1,2,1,350,1,2,2,17,2,113,3.0,132.0,2.0,1,1
88,53,10,1,2,1,248,1,2,2,17,2,99,1.0,126.0,3.0,1,1
89,52,5,1,2,1,1818,1,2,2,17,2,189,2.0,111.0,4.0,1,1
90,36,3,3,1,1,3837,2,1,2,17,2,184,1.0,193.0,1.0,3,1
91,37,1,1,1,1,0,2,1,2,17,2,65,2.0,119.0,1.0,1,1
92,44,3,1,1,1,58,2,1,2,17,2,48,1.0,126.0,3.0,1,1
93,59,3,3,1,1,3552,2,1,2,17,2,690,1.0,123.0,7.0,2,1
94,32,1,1,2,1,0,2,2,2,17,2,159,2.0,195.0,2.0,1,1
95,41,3,1,1,1,20,2,1,2,17,2,99,1.0,151.0,2.0,1,1
96,37,2,1,2,2,-954,2,1,2,17,2,69,1.0,180.0,3.0,1,1
97,43,8,1,3,1,0,1,2,2,17,2,836,1.0,129.0,2.0,1,1
98,51,4,1,3,1,230,2,1,2,17,2,174,1.0,195.0,1.0,1,1
99,56,3,1,1,1,505,2,2,2,17,2,171,1.0,172.0,2.0,1,1
100,44,2,1,2,1,3843,2,1,2,17,2,70,1.0,150.0,2.0,2,1
101,56,3,2,3,1,109,1,2,1,17,2,124,1.0,129.0,18.0,2,1
102,39,10,1,1,1,5,2,1,2,17,2,118,2.0,131.0,1.0,2,1
103,38,5,1,2,1,821,2,2,2,17,2,224,2.0,180.0,1.0,1,1
104,42,5,1,3,1,275,1,1,2,17,2,295,2.0,109.0,9.0,1,1
105,34,3,2,1,1,1049,2,1,2,17,2,101,2.0,129.0,1.0,1,1
106,38,4,1,3,1,0,2,1,2,17,2,78,2.0,193.0,2.0,1,1
107,53,9,1,1,1,2269,1,1,2,17,2,1091,2.0,150.0,1.0,3,2
108,41,4,1,2,1,271,2,1,2,17,2,148,2.0,172.0,2.0,1,1
109,48,3,3,1,1,-478,2,1,2,17,2,87,5.0,167.0,6.0,1,1
110,54,3,1,1,1,3795,2,2,2,17,2,227,2.0,119.0,1.0,1,1
111,55,7,1,2,1,653,2,1,2,17,2,193,2.0,186.0,1.0,1,1
